Price,Short average,Long average,Positions
5891.8,5899.02,5907.678,0
5892.3,5898.37,5907.348,0
5893.0,5897.7,5907.02,0
5893.7,5897.07,5906.692,0
5894.8,5896.46,5906.3640000000005,0
5884.8,5895.84,5906.044,0
5885.2,5894.59,5905.534,0
5885.8,5893.33,5905.024,0
5886.4,5892.06,5904.514,0
5888.0,5890.79,5904.002,0
5885.3,5889.58,5903.502,0
5886.0,5888.93,5903.032,0
5886.2,5888.3,5902.568,0
5886.7,5887.62,5902.094,0
5887.8,5886.92,5901.6140000000005,0
5884.8,5886.22,5901.134,0
5885.3,5886.22,5900.664,0
5886.0,5886.23,5900.1900000000005,0
5886.4,5886.25,5899.724,0
5887.0,5886.25,5899.252,0
5880.3,5886.15,5898.77,0
5880.7,5885.65,5898.12,0
5881.4,5885.12,5897.472,0
5881.9,5884.64,5896.824,0
5882.8,5884.16,5896.178,0
5880.3,5883.66,5895.532,0
5880.8,5883.21,5895.002,0
5881.5,5882.76,5894.474,0
5882.2,5882.3099999999995,5893.946,0
5883.0,5881.89,5893.41,0
5880.3,5881.49,5892.88,0
5880.7,5881.49,5892.29,0
5881.2,5881.49,5891.702,0
5882.0,5881.47,5891.11,0
5882.8,5881.48,5890.522,0
5880.8,5881.48,5889.93,0
5881.1,5881.53,5889.46,0
5881.8,5881.56,5888.982,0
5882.3,5881.59,5888.512,0
5883.1,5881.6,5888.042,0
5882.8,5881.610000000001,5887.57,0
5883.2,5881.860000000001,5887.26,0
5883.7,5882.110000000001,5886.944,0
5884.2,5882.360000000001,5886.632,0
5885.1,5882.58,5886.32,0
5882.3,5882.81,5886.002,0
5882.8,5882.96,5885.702,0
5883.5,5883.13,5885.402,0
5884.0,5883.3,5885.102,0
5885.1,5883.47,5884.8,0
5885.3,5883.67,5884.5,0
5885.8,5883.92,5884.37,0
5886.4,5884.18,5884.24,0
5887.2,5884.45,5884.108,1
5888.3,5884.75,5883.978,0
5879.8,5885.07,5883.848,0
5880.3,5884.82,5883.748,0
5880.8,5884.57,5883.65,0
5881.4,5884.3,5883.55,0
5883.0,5884.04,5883.45,0
5882.3,5883.83,5883.35,0
5883.0,5883.53,5883.29,0
5883.2,5883.25,5883.2300000000005,0
5883.9,5882.93,5883.17,-1
5884.9,5882.6,5883.114,0
5883.8,5882.26,5883.056,0
5884.1,5882.66,5883.036,0
5884.7,5883.04,5883.012,1
5885.5,5883.43,5882.986,0
5887.0,5883.84,5882.968,0
5888.8,5884.24,5882.968,0
5889.2,5884.89,5883.138,0
5889.9,5885.51,5883.308,0
5891.0,5886.18,5883.478,0
5891.3,5886.89,5883.66,0
5881.8,5887.53,5883.83,0
5882.3,5887.33,5883.86,0
5882.8,5887.15,5883.89,0
5883.2,5886.96,5883.916,0
5883.8,5886.73,5883.936,0
5877.8,5886.41,5883.952,0
5878.2,5885.31,5883.902,0
5878.9,5884.21,5883.852,0
5880.0,5883.11,5883.8060000000005,-1
5880.7,5882.01,5883.766,0
5879.3,5880.95,5883.724,0
5879.8,5880.7,5883.694,0
5880.3,5880.45,5883.668,0
5880.9,5880.2,5883.638,0
5881.9,5879.97,5883.61,0
5879.3,5879.78,5883.586,0
5879.8,5879.93,5883.516,0
5880.3,5880.09,5883.448,0
5880.9,5880.23,5883.38,0
5881.9,5880.32,5883.314,0
5875.8,5880.44,5883.25,0
5876.3,5880.09,5883.12,0
5876.9,5879.74,5882.99,0
5877.5,5879.4,5882.858,0
5879.0,5879.0599999999995,5882.728,0
5873.8,5878.77,5882.606,0
5874.2,5878.22,5882.376,0
5874.8,5877.66,5882.144,0
5875.2,5877.11,5881.912,0
5875.9,5876.54,5881.672,0
5871.8,5875.94,5881.424,0
5872.3,5875.54,5881.264,0
5873.0,5875.14,5881.104,0
5873.8,5874.75,5880.948,0
5874.7,5874.38,5880.796,0
5870.3,5873.95,5880.63,0
5870.7,5873.6,5880.39,0
5871.3,5873.25,5880.144,0
5871.8,5872.9,5879.906,0
5872.8,5872.56,5879.664,0
5868.3,5872.25,5879.422,0
5868.7,5871.9,5879.112,0
5869.4,5871.54,5878.804,0
5870.1,5871.18,5878.498,0
5871.0,5870.81,5878.19,0
5863.8,5870.4400000000005,5877.87,0
5864.1,5869.79,5877.37,0
5864.7,5869.13,5876.868,0
5865.2,5868.47,5876.364,0
5865.8,5867.81,5875.848,0
5862.3,5867.11,5875.338,0
5862.7,5866.51,5874.948,0
5863.3,5865.91,5874.556,0
5863.9,5865.3,5874.166,0
5864.7,5864.68,5873.78,0
5860.3,5864.05,5873.398,0
5861.0,5863.7,5873.048,0
5861.1,5863.39,5872.704,0
5862.0,5863.03,5872.348,0
5862.4,5862.71,5871.988,0
5858.3,5862.37,5871.622,0
5858.7,5861.97,5871.202,0
5859.3,5861.57,5870.78,0
5859.9,5861.17,5870.36,0
5860.5,5860.77,5869.94,0
5855.8,5860.35,5869.512,0
5856.2,5859.9,5869.042,0
5856.8,5859.42,5868.57,0
5857.4,5858.99,5868.1,0
5858.0,5858.53,5867.63,0
5857.8,5858.09,5867.152,0
5858.1,5858.04,5866.792,0
5858.7,5857.98,5866.428,0
5859.5,5857.92,5866.064,0
5860.2,5857.88,5865.704,0
5859.8,5857.85,5865.328,0
5860.1,5858.25,5865.048,0
5860.8,5858.64,5864.766,0
5861.3,5859.04,5864.486,0
5862.4,5859.43,5864.208,0
5858.8,5859.87,5863.938,0
5859.1,5859.97,5863.678,0
5859.7,5860.07,5863.414,0
5860.4,5860.17,5863.148,0
5861.5,5860.26,5862.88,0
5854.8,5860.39,5862.616,0
5855.3,5859.89,5862.306,0
5855.8,5859.41,5861.998,0
5856.4,5858.91,5861.688,0
5857.4,5858.42,5861.38,0
5851.8,5857.92,5861.072,0
5852.3,5857.22,5860.742,0
5853.0,5856.54,5860.414,0
5853.8,5855.87,5860.086,0
5855.0,5855.21,5859.76,0
5846.8,5854.56,5859.44,0
5847.3,5853.76,5859.1,0
5847.8,5852.96,5858.764,0
5848.2,5852.16,5858.426,0
5849.3,5851.34,5858.086,0
5848.3,5850.53,5857.756,0
5849.0,5850.18,5857.476,0
5849.1,5849.85,5857.202,0
5849.8,5849.46,5856.918,0
5850.7,5849.06,5856.636,0
5851.3,5848.63,5856.356,0
5852.0,5849.08,5856.176,0
5852.1,5849.55,5855.996,0
5853.0,5849.9800000000005,5855.816,0
5853.5,5850.46,5855.636,0
5851.3,5850.88,5855.458,0
5852.0,5851.18,5855.318,0
5852.3,5851.4800000000005,5855.184,0
5853.0,5851.8,5855.044,0
5854.2,5852.12,5854.906,0
5851.3,5852.47,5854.78,0
5851.7,5852.47,5854.6900000000005,0
5852.2,5852.4400000000005,5854.6,0
5853.0,5852.45,5854.508,0
5854.0,5852.45,5854.42,0
5852.8,5852.5,5854.34,0
5853.3,5852.65,5854.24,0
5854.0,5852.78,5854.144,0
5854.5,5852.95,5854.05,0
5855.1,5853.1,5853.95,0
5855.3,5853.1900000000005,5853.848,0
5855.7,5853.59,5853.758,0
5856.4,5853.99,5853.67,1
5856.8,5854.41,5853.582,0
5857.9,5854.79,5853.492,0
5858.3,5855.18,5853.402,0
5858.8,5855.73,5853.392,0
5859.4,5856.28,5853.386,0
5860.1,5856.82,5853.38,0
5860.8,5857.38,5853.374,0
5852.3,5857.95,5853.36,0
5853.0,5857.65,5853.31,0
5853.2,5857.38,5853.264,0
5854.0,5857.06,5853.212,0
5854.8,5856.78,5853.164,0
5845.8,5856.47,5853.112,0
5846.1,5855.22,5852.992,0
5846.7,5853.95,5852.868,0
5847.4,5852.68,5852.742,-1
5849.0,5851.41,5852.6140000000005,0
5847.8,5850.23,5852.494,0
5848.1,5849.78,5852.514,0
5848.7,5849.29,5852.53,0
5849.2,5848.84,5852.548,0
5850.4,5848.36,5852.568,0
5845.3,5847.92,5852.59,0
5845.7,5847.87,5852.53,0
5846.2,5847.83,5852.464,0
5846.7,5847.78,5852.406,0
5847.4,5847.71,5852.344,0
